nodeid,roleName,nodetype
501,Software engineer,role
502,Systems analyst,role
503,Business analyst,role
504,Technical support,role
505,Network engineer,role
506,Technical consultant,role
507,Technical sales,role
508,Project manager,role
509,Web developer,role
510,Software tester,role
511,java developer,role
512,analyst,role
513,cloud admin,role
514,web designer,role
515,ui designer,role
516,network engineer,role
517,network admin,role
518,blockchain developer,role
519,database engineer,role
520,data analyst,role
521,mobile app developer,role
522,tester,role
523,machine learning engineer,role
524,data engineer,role
525,dotnet developer,role
